CynthAI_v2 self-play  |  3,783,427 params  |  device=cuda  |  3000 updates
 update    win%    policy     value   entropy      pred     total        lr  info  opp
Training:   0%|          | 1/3000 [00:53<44:26:06, 53.34s/updates, WR=33.3%  loss=26.818  lr=1.25e-05  opp=self  eps=6]wandb: WARNING Tried to log to step 1 that is less than the current step 4. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
      1   33.3%    0.0987    1.0311   -2.0024   41.1338   26.8180  1.25e-05  [53.1s  eps=6  pool=0  gn=9.227  cf=0.626  ev=-0.035  am=0.463  as=0.797  rd=0.4008  ia=0.35 aa=0.04 ma=0.08  ae=2.0594  ar=1.8510  rr=0.0036  opp=self]
Training:   0%|          | 2/3000 [01:51<46:56:35, 56.37s/updates, WR=44.0%  loss=19.245  lr=2.50e-05  opp=self  eps=25]wandb: WARNING Tried to log to step 2 that is less than the current step 4. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
      2   44.0%    0.0556    1.0154   -1.8825   28.6310   19.2446  2.50e-05  [58.3s  eps=25  pool=0  gn=2.408  cf=0.586  ev=-0.018  am=0.049  as=0.675  rd=0.3025  ia=0.23 aa=0.02 ma=0.06  ae=1.8035  ar=1.9094  rr=0.0033  opp=self]
Training:   0%|          | 3/3000 [02:48<47:13:07, 56.72s/updates, WR=38.1%  loss=16.940  lr=3.75e-05  opp=self  eps=42]wandb: WARNING Tried to log to step 3 that is less than the current step 4. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
      3   38.1%    0.0344    1.0005   -1.9611   24.8760   16.9397  3.75e-05  [56.9s  eps=42  pool=0  gn=2.148  cf=0.496  ev=-0.001  am=0.020  as=0.606  rd=0.2416  ia=0.30 aa=0.02 ma=0.06  ae=1.8598  ar=1.9215  rr=0.0032  opp=self]
                                                                                                                          
      4   42.3%    0.0166    0.9931   -1.9525   21.6750   14.9859  5.00e-05  [54.9s  eps=71  pool=0  gn=2.290  cf=0.386  ev=0.002  am=0.082  as=0.689  rd=0.1874  ia=0.30 aa=0.03 ma=0.07  ae=1.9097  ar=1.9374  rr=0.0031  opp=ema]
      5    7.0%    0.0077    1.0050   -1.8809   20.2392   14.1391  6.25e-05  [123.3s  eps=163  pool=0  gn=2.414  cf=0.246  ev=-0.006  am=-0.928  as=0.784  rd=0.1392  ia=0.37 aa=0.03 ma=0.06  ae=1.9558  ar=1.9595  rr=0.0030  opp=fo]
      6   25.0%    0.0018    0.9955   -2.1126   18.1434   12.8552  7.50e-05  [54.8s  eps=188  pool=0  gn=2.515  cf=0.223  ev=-0.002  am=0.570  as=0.592  rd=0.1324  ia=0.49 aa=0.03 ma=0.06  ae=2.0253  ar=1.9739  rr=0.0030  opp=ema]
      7   50.0%    0.0021    0.9690   -2.1140   16.6865   11.9277  8.75e-05  [55.2s  eps=213  pool=0  gn=2.319  cf=0.156  ev=0.029  am=0.557  as=0.565  rd=0.1107  ia=0.57 aa=0.04 ma=0.07  ae=2.0851  ar=1.9924  rr=0.0029  opp=ema]
      8   67.0%   -0.0026    0.9601   -2.1021   15.4274   11.1492  1.00e-04  [55.7s  eps=236  pool=0  gn=2.502  cf=0.115  ev=0.038  am=0.661  as=0.645  rd=0.1041  ia=0.68 aa=0.06 ma=0.07  ae=2.1240  ar=2.0091  rr=0.0028  opp=ema]
